5495049 | cookie cookie | New mark | 12.100
7360485 | chocolate cake | Karmela | 4.365
2913192 | donnat waffle | Milka | 9.973
4231828 | pie  | New mark | 10
8254449 | bisquits  | My firm | 28
8056580 | cookie  | My firm | 7
3582780 | pie  | Milka | 24
5479691 | bonbon  | Ood | 17
9254497 | bonbon cake | Nestle | 15
289192 | bisquits  | Milka | 20
1081329 | bonbon cookie | New mark | 23.183
4332649 | donnat pie | Milka | 29
1694956 | bonbon pie | Karmela | 4
7137332 | donnat  | Milka | 19.227
4320236 | bisquits waffle | Karmela | 21
6529640 | cookie bonbon | Nestle | 21
2961054 | chocolate bonbon | My firm | 24
1277754 | cookie donnat | My firm | 16
87491 | waffle bonbon | Milka | 28.665
8524602 | bisquits bisquits | Kinder | 15
143552 | cake waffle | Kinder | 12
2201098 | chocolate  | Milka | 11.696
2417578 | cookie  | Milka | 0
1470790 | donnat  | Kinder | 23
6306867 | bonbon waffle | Milka | 21
5328741 | cookie cookie | Kinder | 14.165
2368087 | waffle  | Ood | 17
9684513 | cookie cookie | Kinder | 2
4478222 | chocolate bisquits | Karmela | 17
6526299 | cake pie | My firm | 0
1216555 | cookie donnat | Karmela | 28
9102702 | cookie  | Milka | 5
6622353 | cookie donnat | Kinder | 18
850518 | cookie  | Nestle | 13
2773341 | cookie pie | Milka | 11
9256191 | pie  | Ood | 17
1292407 | waffle waffle | Karmela | 2
7746194 | chocolate  | Ood | 20
9081918 | cookie cookie | My firm | 19
7252707 | cake bisquits | New mark | 25
6220022 | pie cookie | Ood | 9
5031778 | chocolate chocolate | Nestle | 6.153
1526285 | waffle chocolate | Nestle | 14.239
2644610 | waffle  | Kinder | 22
4278657 | bonbon pie | Nestle | 24
3092660 | cookie  | Nestle | 4
4780174 | bonbon bonbon | Nestle | 15
5285993 | cookie cake | My firm | 9
6290340 | cookie  | Karmela | 7
551649 | cake waffle | My firm | 27.247
8433624 | donnat cake | Milka | 2
1004748 | pie  | New mark | 15.919
9022504 | waffle bisquits | Ood | 6.758
4629486 | waffle  | Nestle | 10
7830640 | chocolate waffle | Nestle | 9
6162289 | bonbon bonbon | Milka | 2
7823375 | pie cake | Karmela | 4
8862960 | waffle  | Ood | 28
850749 | waffle  | Karmela | 28
6998368 | bisquits cookie | Nestle | 5
2341766 | bisquits  | Ood | 4
1284219 | cake cake | Karmela | 11
2140976 | chocolate cookie | My firm | 16
3539043 | cookie  | Kinder | 11.504
3865825 | bonbon  | Milka | 15
7988111 | donnat cookie | My firm | 0.829
2214944 | chocolate waffle | Milka | 9
6177121 | waffle  | Kinder | 23
5116129 | cake  | Milka | 17
2369182 | cake donnat | My firm | 3
8348001 | bisquits bisquits | Kinder | 14.565
1324098 | waffle cookie | Milka | 28
7688703 | pie chocolate | New mark | 23.267
3445695 | waffle chocolate | Ood | 2
2114000 | bisquits waffle | My firm | 6
1200437 | chocolate waffle | Milka | 11.734
5914603 | waffle bonbon | Ood | 22
3282295 | waffle  | My firm | 1.909
851237 | waffle waffle | My firm | 8.252
7255419 | waffle pie | Karmela | 26
2666302 | cookie chocolate | Karmela | 23
1544117 | cake  | Ood | 8.979
3757577 | donnat  | New mark | 6
2278396 | chocolate donnat | Ood | 20
6983390 | waffle bonbon | Kinder | 2
1142776 | waffle donnat | Karmela | 3
2242520 | cookie cookie | Kinder | 0.349
5426262 | cake  | My firm | 26.142
8164581 | donnat  | Ood | 13
6717516 | bisquits pie | Milka | 5
8864064 | bisquits  | Kinder | 3
35875 | cookie waffle | New mark | 19.348
9400337 | pie  | Karmela | 5
9720705 | cake cake | New mark | 19
5525003 | bisquits cake | New mark | 24
4633777 | bisquits donnat | Nestle | 13.625
4411022 | cookie bisquits | Nestle | 14
4433452 | pie  | Kinder | 19
2135134 | cake bisquits | My firm | 22
1820343 | donnat chocolate | New mark | 19
6867595 | waffle  | Milka | 22.346
2317908 | chocolate  | My firm | 7.820
8916798 | cake pie | Milka | 15.626
8157410 | cake cake | New mark | 13
7901139 | bisquits cake | Karmela | 1.618
9855803 | bisquits cookie | Ood | 15.804
1997749 | cookie bisquits | Milka | 10.667
1433815 | cake  | Karmela | 13
462802 | waffle cake | Nestle | 26.514
6090694 | pie chocolate | Nestle | 15
9678930 | bisquits  | My firm | 26
1762987 | bonbon  | Milka | 12.748
5946219 | donnat waffle | Milka | 19.989
6426383 | bisquits  | My firm | 21
9142899 | pie bonbon | Ood | 21
1754885 | bisquits bonbon | My firm | 19
2238854 | pie donnat | New mark | 10
6381135 | pie donnat | New mark | 9
3252546 | chocolate chocolate | Milka | 0.344
7462389 | chocolate waffle | New mark | 12
275482 | bisquits donnat | Nestle | 22
8192967 | bisquits waffle | New mark | 8.910
2826022 | bonbon bonbon | New mark | 10.99
3920893 | cookie donnat | Kinder | 10
3163025 | waffle chocolate | New mark | 7.799
9548239 | chocolate bonbon | My firm | 9
2565743 | donnat  | New mark | 24
238482 | cake bonbon | Ood | 4.364
7445691 | donnat waffle | Ood | 11
2638976 | bonbon  | Karmela | 29
4466648 | bonbon bonbon | My firm | 23
3671738 | cookie bonbon | My firm | 1.810
9320967 | pie chocolate | Kinder | 13.114
5468912 | cake donnat | Ood | 29
9820309 | bonbon donnat | Karmela | 16.59
4745273 | waffle donnat | Kinder | 8
9201701 | donnat  | Kinder | 9
5011620 | cookie donnat | Milka | 0
4611931 | pie cake | Nestle | 26
39830 | cake  | New mark | 8
7344511 | bisquits waffle | My firm | 2
8294597 | pie pie | New mark | 19.480
5802391 | donnat  | Nestle | 15.598
6227017 | cookie cookie | Milka | 20
1926494 | pie pie | My firm | 21.878
4387709 | waffle  | Milka | 1
930556 | chocolate cake | Karmela | 4
8238794 | donnat pie | My firm | 4
1786891 | cookie pie | Milka | 3
9379801 | waffle  | Kinder | 17.701
4648701 | cookie  | Nestle | 7
5296461 | cookie donnat | Karmela | 16.368
8366107 | chocolate  | Kinder | 17
6998158 | pie bisquits | Kinder | 27.155
5896901 | donnat donnat | New mark | 21
3874500 | bonbon bisquits | Milka | 5
6196526 | donnat  | Karmela | 24.101
4236414 | donnat  | Kinder | 24.619
9316023 | donnat  | Nestle | 26
9119167 | chocolate  | Karmela | 21
97607 | waffle cookie | New mark | 11.22
2257954 | pie  | My firm | 2
537060 | bonbon cookie | Ood | 0
7395871 | waffle  | Milka | 28.796
7651654 | cookie cookie | Ood | 7.652
5929600 | bisquits  | Karmela | 15
3936266 | bonbon pie | Milka | 1.745
1115528 | pie cake | New mark | 8
5355310 | waffle chocolate | My firm | 7
1618129 | cookie pie | Karmela | 12
6041120 | bisquits waffle | New mark | 10.532
3734534 | cake  | My firm | 0
8452814 | pie  | Nestle | 28
574289 | donnat cookie | Kinder | 21
87357 | bonbon  | Nestle | 14
1727794 | cookie bisquits | Milka | 3
7080140 | chocolate  | Milka | 23.238
2330067 | bisquits bisquits | Nestle | 19
5156596 | cake pie | My firm | 0
2765631 | waffle  | Nestle | 23
8465180 | donnat cookie | Ood | 9.950
540594 | donnat  | New mark | 29
4869951 | cake chocolate | Ood | 24.657
8544374 | cookie cake | Kinder | 8
6261719 | donnat chocolate | My firm | 11.927
2317687 | bisquits  | Karmela | 23
7291493 | cake  | My firm | 16.584
9871702 | chocolate donnat | Nestle | 5.839
155188 | bisquits  | New mark | 15
9634633 | waffle cookie | Kinder | 5
1582585 | cake bonbon | Nestle | 5.883
4989402 | bisquits bonbon | New mark | 19
4304349 | chocolate  | Milka | 6.216
546343 | donnat bisquits | Kinder | 22.249
9865759 | waffle pie | New mark | 11
7300607 | donnat donnat | Ood | 15
6654419 | cookie pie | Kinder | 29
4074278 | donnat cake | Ood | 19
3629849 | chocolate  | Nestle | 19.268
1071106 | bonbon  | New mark | 15
3139818 | chocolate  | Milka | 4
578467 | bonbon  | Karmela | 7
2370460 | cookie cookie | Ood | 4
7266107 | cake donnat | New mark | 17.267
7282843 | cookie cake | Ood | 16.411
3055954 | cake cookie | Milka | 17
710530 | cookie cake | Nestle | 21
5519977 | bonbon donnat | New mark | 7
2199128 | waffle pie | My firm | 9
9239919 | donnat  | Milka | 3.273
8743502 | bisquits cake | Milka | 28.369
9150916 | donnat cookie | Kinder | 0.763
556083 | cake waffle | Kinder | 9.715
8099045 | bisquits bonbon | My firm | 19
2958589 | cookie cake | Ood | 8.658
2936482 | cake waffle | New mark | 27
2906330 | cake bonbon | Milka | 12.649
1878701 | cookie  | Ood | 25
9547743 | bonbon bisquits | My firm | 18
6231268 | bisquits  | My firm | 23.583
8132954 | bonbon bisquits | New mark | 27
3198710 | bisquits waffle | Kinder | 1
2279323 | chocolate waffle | My firm | 23
5019214 | chocolate  | Nestle | 9
6675062 | bisquits cake | My firm | 10
8359748 | donnat donnat | Kinder | 27
6349032 | pie pie | Nestle | 16
3951944 | bonbon chocolate | Nestle | 9.311
1949545 | cake waffle | Ood | 8
8030988 | cake  | New mark | 12.274
3807095 | cake  | My firm | 25
7221977 | cookie donnat | New mark | 29.127
263040 | cookie  | Kinder | 12
7580333 | chocolate  | Karmela | 28
6633034 | donnat pie | Karmela | 4
1202500 | pie pie | New mark | 13
5891762 | cookie  | Kinder | 20
236342 | pie chocolate | Ood | 21
6015118 | cookie  | Karmela | 19
2146955 | chocolate pie | My firm | 10
1470678 | bonbon  | Milka | 24.566
8709124 | donnat  | New mark | 29
9827477 | cookie bonbon | New mark | 27
1497835 | bonbon cookie | Milka | 4.250
4995491 | pie cake | Karmela | 0
8715725 | cookie bonbon | Karmela | 4.666
3580156 | waffle cake | Karmela | 18.545
665388 | cake waffle | Ood | 16
184227 | cake  | Nestle | 11.370
934457 | bisquits bonbon | New mark | 7
5207874 | bisquits chocolate | Karmela | 7.468
4788636 | cake bisquits | Nestle | 21.216
5286461 | donnat  | New mark | 17
5419028 | pie cookie | Ood | 11
7228786 | waffle donnat | Ood | 16
6812153 | waffle  | Nestle | 20
1877611 | waffle chocolate | New mark | 19.116
4213139 | bonbon waffle | Kinder | 28
9403217 | bisquits  | Milka | 19.755
2018360 | pie  | Nestle | 5
5351179 | chocolate chocolate | Kinder | 0
1094437 | bonbon pie | Nestle | 11.301
1933706 | waffle donnat | Karmela | 17
1852639 | bisquits  | Kinder | 13
2306231 | donnat waffle | My firm | 9
3588283 | cake bisquits | Ood | 17
7900071 | cake  | Ood | 8
4544204 | chocolate  | New mark | 13
1311573 | pie bisquits | Ood | 2
9369631 | donnat  | Ood | 10
675227 | cake cookie | Kinder | 5
9859168 | donnat cookie | Kinder | 3
5753201 | donnat  | Karmela | 29.876
1734486 | pie waffle | Nestle | 7
6585845 | pie cake | Ood | 1.202
5116840 | waffle  | Karmela | 15
1900151 | pie  | Milka | 25.13
9596073 | cake donnat | Nestle | 29
8760146 | waffle  | Karmela | 27
3273323 | bonbon pie | Milka | 2
3726458 | waffle bisquits | Nestle | 14.983
9433595 | bonbon  | Karmela | 28
6989771 | chocolate pie | My firm | 1.326
505543 | bisquits cake | Ood | 8.438
5044121 | donnat pie | Karmela | 14
2729227 | cookie cake | Ood | 27.901
798304 | donnat  | Karmela | 1
9779068 | cake  | Milka | 1
4329737 | pie cookie | Ood | 28
6595650 | bisquits bonbon | New mark | 6.631
2591385 | cake waffle | Nestle | 22
5004901 | pie cake | Ood | 28
2376072 | cake cookie | Kinder | 14
9651788 | bisquits donnat | Nestle | 19
2739208 | cake waffle | New mark | 26
9737865 | cake cake | Karmela | 0.838
6612593 | bisquits  | My firm | 3.58
6797230 | bonbon  | New mark | 4.388
5971314 | waffle chocolate | New mark | 6.472
2300134 | chocolate  | New mark | 7.698
9428383 | waffle bonbon | Kinder | 19
9405527 | pie waffle | Milka | 2.297
1066626 | cake cookie | Kinder | 10
5459009 | bonbon  | New mark | 5.893
4987158 | bisquits donnat | Ood | 6
2853694 | donnat  | New mark | 5
1054799 | cookie chocolate | Ood | 7
52031 | bisquits cake | Ood | 10.871
2839736 | bonbon  | My firm | 9.362
1792046 | cake  | Kinder | 0
8212931 | pie  | New mark | 26
5802888 | donnat chocolate | Ood | 28.888
1528803 | donnat  | Kinder | 19
8379178 | chocolate pie | Milka | 26
7434627 | waffle pie | Ood | 7
1839099 | cookie  | New mark | 2
6767806 | donnat chocolate | My firm | 15.159
2091367 | bonbon bonbon | My firm | 1
8198973 | donnat cookie | Kinder | 10
5025318 | bonbon  | Ood | 21
7041415 | cookie bisquits | Ood | 4.901
5402386 | cake cake | New mark | 9
1952721 | bonbon waffle | Milka | 17
6188257 | cake  | Kinder | 3
4340561 | bisquits waffle | New mark | 9
6304272 | waffle  | Milka | 8
8487232 | bisquits  | Kinder | 26.50
3025001 | bisquits cake | My firm | 15.340
9598837 | chocolate  | Ood | 0
4672736 | bonbon donnat | Ood | 13
9038986 | pie bisquits | Kinder | 12
843539 | waffle bisquits | New mark | 2
1267964 | bisquits  | Ood | 9.114
6705435 | bisquits  | Nestle | 8
3814495 | chocolate  | Kinder | 29
1908234 | waffle chocolate | Nestle | 12.483
2557749 | cookie cake | Kinder | 28
3404771 | donnat chocolate | Karmela | 11
2333551 | waffle donnat | Ood | 1
275147 | chocolate waffle | Kinder | 26.595
2814319 | pie bonbon | Karmela | 25.950
3648048 | bisquits  | My firm | 1.589
188021 | bisquits waffle | Milka | 2.322
5698550 | chocolate  | Milka | 14
3642032 | chocolate  | New mark | 22
8610209 | cookie pie | Ood | 3
4726502 | cake cake | Nestle | 26
6393818 | chocolate waffle | Ood | 15.547
8939142 | chocolate cake | Karmela | 7.294
2740592 | cake  | My firm | 21
9579174 | cake chocolate | Karmela | 22
363894 | waffle bisquits | Kinder | 2
4272401 | cookie bonbon | My firm | 9
2942711 | bisquits  | My firm | 7
3660742 | bisquits chocolate | Nestle | 22.47
9520278 | donnat donnat | Nestle | 26
6923357 | cake  | Karmela | 4
8667879 | cake chocolate | Kinder | 12
6636463 | bisquits  | My firm | 9.296
7769831 | waffle chocolate | Milka | 26.475
7309418 | pie  | Milka | 12
6019353 | cookie donnat | Kinder | 24
5983456 | chocolate bisquits | Nestle | 13
6083081 | cookie cookie | Kinder | 17.215
9124820 | bonbon bisquits | Nestle | 11
315607 | pie donnat | Ood | 1
3198816 | cake  | My firm | 23.408
8036773 | cake waffle | Ood | 26.444
6762658 | chocolate cake | Nestle | 21
5329066 | pie chocolate | Karmela | 1.516
3552691 | cookie  | Ood | 7
4165065 | cake donnat | New mark | 3
4610379 | pie cookie | New mark | 17.677
1483018 | bonbon chocolate | My firm | 2
9321671 | cake bisquits | Karmela | 6
9076599 | cookie donnat | Karmela | 7
459001 | pie cookie | Milka | 2
974616 | cookie waffle | Kinder | 25.344
6467528 | donnat cake | Kinder | 21.391
4361557 | cookie  | Ood | 28
5463049 | donnat pie | Milka | 3.96
4056400 | bisquits  | Nestle | 25.618
9213254 | cookie bisquits | My firm | 28.205
9782646 | bonbon donnat | My firm | 4.932
1601793 | chocolate  | Kinder | 0
2723242 | cake  | Kinder | 16
3652720 | cake donnat | Ood | 23
9968794 | donnat waffle | New mark | 13
9452921 | cookie bonbon | Ood | 28.392
8632933 | bisquits chocolate | Karmela | 11.725
2378154 | cookie cookie | New mark | 9
8887578 | donnat cake | Kinder | 29
6548188 | waffle bisquits | Karmela | 19.944
1360417 | cookie  | Ood | 23.343
9284862 | bonbon  | New mark | 6.830
4297260 | pie cake | Kinder | 16.195
3251917 | bonbon bisquits | Karmela | 2
2697906 | pie cookie | Nestle | 12
4527048 | pie bisquits | My firm | 0
5083098 | bisquits bisquits | New mark | 0
5029394 | donnat cake | New mark | 28.972
5679409 | cookie bisquits | My firm | 26.192
7017251 | chocolate cookie | Nestle | 28.749
9980525 | bonbon pie | Ood | 19.882
390453 | cake pie | Ood | 25
4734186 | cookie bisquits | Ood | 21.568
6193685 | bonbon  | Kinder | 6
4140889 | waffle pie | Ood | 20
2601750 | waffle  | Ood | 15
2330080 | cake  | My firm | 7
4732343 | donnat  | Ood | 19.34
7251588 | cake  | Karmela | 21
7917084 | waffle bisquits | Milka | 0.184
359009 | bonbon  | Nestle | 10
213975 | chocolate waffle | New mark | 27.748
4646313 | bisquits pie | New mark | 25
8973554 | bonbon waffle | Nestle | 21.608
4062897 | donnat bonbon | Karmela | 13
9956888 | cookie  | Karmela | 0
7944232 | cookie pie | Nestle | 1.290
8240649 | bisquits  | Milka | 7.13
2430241 | donnat pie | New mark | 12
5908604 | bisquits cookie | Nestle | 22
9770461 | cookie  | New mark | 7.628
9853688 | cookie  | Karmela | 6.582
5398201 | chocolate waffle | Nestle | 21
5571315 | bisquits bonbon | Milka | 10
5193008 | chocolate cake | Milka | 28
7882061 | bonbon donnat | Kinder | 11.368
9797661 | chocolate chocolate | New mark | 1.849
1315258 | chocolate  | Karmela | 12.195
6116280 | chocolate cake | My firm | 16.944
9331692 | bisquits pie | Ood | 14
2631746 | bisquits bonbon | Nestle | 24
1392184 | cookie bisquits | Milka | 19
2567963 | bisquits cookie | Kinder | 24
2962653 | cake pie | New mark | 4
7482175 | chocolate  | Nestle | 11
7488050 | cake  | Milka | 28
9954381 | pie  | New mark | 4
5622777 | bonbon chocolate | Nestle | 7
6620312 | waffle cookie | Karmela | 11
6709322 | donnat waffle | Karmela | 29
9668447 | donnat bisquits | Milka | 17
8202134 | chocolate  | Kinder | 18
1923676 | donnat cake | New mark | 1
7097012 | bonbon chocolate | Nestle | 25
7197782 | chocolate pie | Kinder | 4
5954330 | bisquits  | New mark | 3
2455852 | pie  | Ood | 17.898
3734711 | pie cake | Karmela | 16
1180469 | cake  | My firm | 26.182
9135418 | pie bonbon | Ood | 13
5969346 | cake chocolate | Karmela | 11.867
9107182 | donnat bisquits | Ood | 0
696828 | pie  | My firm | 18
8722987 | chocolate pie | New mark | 14.61
6866396 | cake cookie | Ood | 23.93
6219495 | donnat  | Nestle | 7
3032855 | donnat bisquits | Milka | 28
8167509 | chocolate pie | My firm | 21
2455243 | bonbon donnat | New mark | 24.240
8638682 | cake  | Milka | 25
2076521 | bisquits bonbon | Milka | 1
6717798 | bisquits bisquits | Nestle | 10
6234376 | bisquits waffle | Kinder | 15
4402681 | donnat  | My firm | 13
623616 | chocolate bisquits | Ood | 2
6090987 | cake  | Karmela | 11
8374080 | cookie cookie | Karmela | 14
3541899 | cookie donnat | Karmela | 5
1286295 | pie  | Kinder | 20
4715454 | cake waffle | Kinder | 11.617
2607899 | donnat  | Kinder | 0
6695059 | bisquits waffle | Karmela | 1
2341473 | waffle donnat | New mark | 22
6052598 | pie donnat | Ood | 20.141
9980679 | cookie bonbon | Milka | 25.693
4004408 | pie pie | Karmela | 25.845
4483741 | cake bonbon | Milka | 2
3114017 | cookie chocolate | Nestle | 16.154
3317532 | bonbon bisquits | Kinder | 1
8493395 | bonbon  | New mark | 2.149
9581985 | chocolate cookie | My firm | 14.962
9558096 | donnat donnat | Kinder | 17
8243650 | cake  | Kinder | 21.601
1511357 | cookie  | New mark | 0
5668259 | chocolate chocolate | My firm | 4
4586528 | bisquits chocolate | New mark | 25
2381301 | cake chocolate | Ood | 25.328
4664227 | cookie bisquits | Ood | 10
1719926 | waffle waffle | My firm | 11
3898223 | donnat donnat | Ood | 6
8570297 | chocolate pie | Ood | 10
2092507 | bonbon bonbon | Karmela | 7
8840834 | chocolate  | Milka | 9
897763 | waffle  | Nestle | 11
3789711 | bonbon cookie | Ood | 27
7659229 | cookie cookie | My firm | 29
4065843 | donnat  | New mark | 9
1571299 | bonbon pie | Milka | 20
6708541 | waffle pie | Kinder | 14
9845157 | bisquits cake | Ood | 7
4723839 | chocolate waffle | New mark | 8.132
1270344 | bonbon chocolate | My firm | 24.743
6204684 | bisquits  | Nestle | 8.184
7380541 | cookie chocolate | Kinder | 4.575
8587395 | chocolate  | Karmela | 6.425
5205458 | waffle  | My firm | 10.280
112094 | donnat  | New mark | 15.358
7242962 | donnat bonbon | New mark | 18
8002765 | bonbon  | Ood | 27
6402097 | donnat  | Kinder | 28
1950742 | cake donnat | New mark | 28
4579515 | cookie donnat | Milka | 18.217
1344433 | chocolate cookie | Nestle | 15
7202692 | bonbon cookie | My firm | 16
418734 | cake donnat | Ood | 27
8990191 | donnat bonbon | New mark | 5.812
2449077 | bonbon pie | My firm | 15
4349408 | cake chocolate | Karmela | 0
9865677 | bonbon waffle | New mark | 16.996
2815709 | cake  | Karmela | 7.267
2735025 | cookie bisquits | Ood | 28
1798810 | cake  | Kinder | 4.344
3227261 | pie  | Karmela | 8.379
7275588 | waffle cake | My firm | 7
6620680 | cookie bisquits | New mark | 5
451885 | pie  | Kinder | 20.33
8583085 | bisquits waffle | Kinder | 19
8839254 | pie  | Ood | 2
5459436 | chocolate cake | Nestle | 21.517
322931 | bisquits bisquits | Kinder | 29.66
1083952 | waffle donnat | Nestle | 26.668
2749107 | waffle donnat | New mark | 22
3080911 | cake  | New mark | 27
5349155 | cake chocolate | My firm | 24.820
904387 | donnat cake | New mark | 22
3603999 | bonbon cake | Kinder | 9
9723887 | chocolate  | New mark | 8
5556931 | cookie bonbon | Nestle | 8
7445896 | cake pie | Kinder | 0
1844720 | waffle bonbon | Ood | 0.947
5508598 | cake  | Ood | 13.742
8535176 | donnat cookie | Karmela | 7
1951431 | waffle  | My firm | 5
7232852 | waffle cake | Kinder | 14.530
1772319 | donnat bisquits | Milka | 18.61
533516 | waffle waffle | Kinder | 23
539001 | waffle cookie | Karmela | 7
8842193 | waffle waffle | Milka | 3.497
8298290 | donnat bonbon | Karmela | 2
3011692 | bisquits waffle | Kinder | 12
6769148 | cake donnat | Karmela | 19.599
8837612 | cookie  | New mark | 0
4073136 | pie donnat | Kinder | 16
8594876 | cookie chocolate | Karmela | 1.117
9279254 | bonbon  | Kinder | 1
1267293 | cookie  | My firm | 10
2302328 | chocolate  | Ood | 28.657
8938556 | waffle  | Karmela | 2
1899316 | pie  | Kinder | 24
6022951 | donnat donnat | Nestle | 5
9824886 | cookie  | Milka | 2
6764489 | bonbon pie | Milka | 25.630
3997295 | bisquits cake | My firm | 0.850
9452638 | donnat waffle | My firm | 22
7482423 | bonbon pie | Milka | 2.613
2247621 | bonbon  | Nestle | 19
587044 | donnat  | Karmela | 9.664
8451829 | bisquits bonbon | My firm | 3
3176364 | cake donnat | Ood | 24
6137935 | bisquits  | Ood | 16.679
4120454 | waffle cookie | My firm | 2
229786 | waffle bonbon | My firm | 21
8441619 | chocolate cake | Ood | 13.524
5274415 | bisquits pie | Kinder | 13
633411 | pie donnat | Ood | 12
4516475 | cookie  | Kinder | 22.313
8748458 | cake chocolate | New mark | 23.498
1408266 | cookie waffle | Ood | 28.98
6481877 | donnat bisquits | Nestle | 29
6746792 | cake chocolate | Karmela | 1
8996002 | cake  | Milka | 19
1441027 | pie  | Karmela | 13
6554042 | bonbon  | Karmela | 16
3485995 | waffle chocolate | Nestle | 27
8993855 | bisquits bisquits | Nestle | 22
4431566 | waffle bonbon | Nestle | 20.536
9548824 | donnat pie | Ood | 22.244
6617030 | bonbon bonbon | Nestle | 18
8450995 | waffle  | Milka | 22.460
4327057 | chocolate donnat | Kinder | 7
8465260 | bonbon cookie | New mark | 14
3796800 | cookie  | Milka | 17.21
1952996 | waffle bonbon | New mark | 2
7659259 | bisquits cookie | Milka | 14
6587443 | pie cake | Kinder | 23
9255023 | chocolate waffle | Kinder | 25
8635264 | chocolate bonbon | Milka | 13.638
3434406 | cake  | Milka | 18.911
4124456 | chocolate chocolate | Kinder | 21
462045 | cookie bisquits | Milka | 8.993
7423805 | cake  | Nestle | 27.464
3739618 | chocolate  | Milka | 0
2731258 | bisquits bonbon | New mark | 0
5763446 | donnat  | New mark | 22.12
3987767 | cake bonbon | Ood | 9
9572530 | cookie bonbon | Milka | 19
6431723 | cookie pie | Karmela | 6
2368601 | cookie  | My firm | 7
4168680 | pie waffle | Karmela | 22.65
6948556 | chocolate bonbon | Karmela | 4.805
9847269 | donnat bisquits | Karmela | 27
1563737 | donnat  | Ood | 7.106
8433659 | pie cake | Ood | 4
5100534 | cookie waffle | Ood | 28
1265739 | cookie chocolate | My firm | 12
1511692 | donnat donnat | My firm | 10
4767736 | cookie donnat | Ood | 17.60
5277101 | chocolate  | Milka | 26
3874562 | chocolate pie | Ood | 0.344
468683 | donnat cake | My firm | 20
8060503 | cake pie | My firm | 0
6537345 | waffle bisquits | Milka | 1.933
8561874 | bisquits chocolate | New mark | 23
1669863 | waffle waffle | Kinder | 16
2142397 | bonbon  | My firm | 6
4048172 | pie waffle | My firm | 12
4888421 | pie pie | Ood | 7.33
4839113 | bonbon donnat | Kinder | 24
9508243 | waffle  | Ood | 12
2182676 | pie  | Karmela | 25
5287195 | chocolate chocolate | Karmela | 10
4955746 | bisquits waffle | My firm | 25
8622091 | cake cake | Karmela | 4
9130456 | pie waffle | My firm | 0
2705745 | chocolate  | Milka | 3
5846119 | donnat chocolate | New mark | 17
3260587 | bonbon  | Ood | 15.957
8960984 | waffle cake | Ood | 20
6156738 | bisquits  | Karmela | 3.627
2250001 | bisquits bonbon | Nestle | 28
9256343 | bonbon donnat | Kinder | 13
7524110 | cake donnat | My firm | 1
7826353 | bonbon bisquits | Nestle | 13
6486515 | cookie cookie | Milka | 2.860
5351757 | pie  | Kinder | 2
3096634 | donnat donnat | Milka | 26
5557356 | chocolate cake | Milka | 24
808954 | pie donnat | My firm | 26.648
5654093 | bisquits bisquits | My firm | 26.128
7215179 | waffle pie | My firm | 10.375
1905303 | cookie  | Kinder | 12
9757174 | chocolate  | Karmela | 23
8987330 | bonbon bonbon | Karmela | 19.378
1655101 | pie donnat | Nestle | 29.204
2795619 | donnat cake | New mark | 15
9312997 | pie  | Milka | 0
7320541 | chocolate chocolate | My firm | 6
8438342 | pie  | New mark | 0
2101263 | bisquits  | Kinder | 22
4651257 | pie bisquits | Karmela | 1
3808042 | waffle waffle | My firm | 13.30
4334559 | pie pie | Ood | 22
3611157 | cookie bonbon | New mark | 6.430
7704010 | cake pie | My firm | 17
8046611 | chocolate  | Karmela | 25.196
3411223 | cake cake | Karmela | 23
5653572 | bisquits cake | Ood | 12.457
5316467 | bisquits chocolate | Kinder | 26
595394 | cake waffle | My firm | 29
7833907 | bonbon cookie | Milka | 5.786
99931 | cookie donnat | Milka | 11
544345 | cake  | New mark | 10
7649326 | donnat donnat | Nestle | 17
6951388 | donnat  | Nestle | 17.491
6546146 | pie  | Milka | 1.744
3013327 | chocolate bonbon | Karmela | 11
6211615 | chocolate  | Karmela | 18
184581 | bonbon  | Karmela | 25
6200503 | chocolate  | My firm | 6.110
8859645 | donnat  | Nestle | 27
872826 | pie donnat | Milka | 24
1798198 | chocolate  | Ood | 25
9482785 | bonbon waffle | Karmela | 21
4514175 | cake bonbon | My firm | 10
5619204 | cookie waffle | Karmela | 10.536
288196 | cookie  | Ood | 23.424
5280446 | chocolate  | Karmela | 17
8929430 | waffle cookie | Karmela | 15.447
1955926 | bonbon donnat | Ood | 2
5274029 | cake  | My firm | 18
1885509 | donnat  | New mark | 27.26
1121842 | cake  | Ood | 22
6689773 | chocolate  | New mark | 1
7688394 | chocolate bisquits | New mark | 29
1147164 | pie  | Nestle | 0.972
9551538 | cake bisquits | New mark | 22.214
3348694 | cookie  | My firm | 4
4157456 | cookie pie | Kinder | 19
3222204 | bisquits bisquits | New mark | 4.275
1115425 | bisquits  | New mark | 23
9645851 | cookie chocolate | Nestle | 15
7546326 | bisquits  | Nestle | 25.698
1703656 | cookie donnat | My firm | 3
3490682 | donnat  | Ood | 17.939
2233269 | bisquits  | Karmela | 11
4511605 | donnat cake | New mark | 4.567
825452 | waffle donnat | New mark | 11.568
8332790 | chocolate  | Karmela | 26
6817763 | cake  | New mark | 8
5313057 | chocolate  | Karmela | 14.247
1867801 | pie chocolate | Nestle | 25.266
5169518 | chocolate pie | New mark | 25
4184298 | chocolate cake | Kinder | 25.17
